idx,slack_ns,owner,path_group,path_type,path_class,startpoint,endpoint
1,-7.537,IP_DDR_PHY,ddrphy_sysclk,max (slow corner),async timing path,rstn_1ms[8]/opit_0_inv_AQ_perm/CLK,u_DDR3/u_ddrphy_top/u_ips2l_ddrphy_rst_clk_phase_adj/cpd_offset_cnt[0]/opit_0_L6Q_perm/RS
2,-7.533,IP_DDR_PHY,ddrphy_sysclk,max (slow corner),async timing path,rstn_1ms[8]/opit_0_inv_AQ_perm/CLK,u_DDR3/u_ddrphy_top/u_ips2l_ddrphy_rst_clk_phase_adj/cpd_offset_cnt[9]/opit_0_AQ_perm/RS
3,-4.101,IP_DDR_PHY,phy_dq_clk_1,max (slow corner),async timing path,u_DDR3/u_ddrphy_top/ddrphy_reset_ctrl/ddrphy_dqs_rst/opit_0_inv/CLK,u_DDR3/u_ddrphy_top/ddrphy_slice_top/i_dqs_group[1].ddrphy_data_slice/dq_loop[6].u_iobuf_dq/opit_1/OSR_IOLHR
4,-4.097,IP_DDR_PHY,phy_dq_clk_1,max (slow corner),async timing path,u_DDR3/u_ddrphy_top/ddrphy_reset_ctrl/ddrphy_iol_rst/opit_0_inv_L5Q_perm/CLK,u_DDR3/u_ddrphy_top/ddrphy_slice_top/i_dqs_group[1].ddrphy_data_slice/u_tserdes1_dq/oserdes_inst/TSR
5,-3.825,IP_DDR_PHY,phy_dq_sysclk_1,max (slow corner),sequential timing path,u_DDR3/u_ddrphy_top/ddrphy_slice_top/i_dqs_group[0].ddrphy_data_slice/ddrphy_wdata_path_adj/phy_wrdata_en_r[2]/opit_0_inv_L6QQ_perm/CLK,u_DDR3/u_ddrphy_top/ddrphy_slice_top/i_dqs_group[0].ddrphy_data_slice/u_tserdes0_dqs/oserdes_inst/TS_CTRL[2]
6,-3.758,IP_DDR_PHY,phy_dq_sysclk_1,max (slow corner),sequential timing path,u_DDR3/u_ddrphy_top/ddrphy_slice_top/i_dqs_group[0].ddrphy_data_slice/ddrphy_wdata_path_adj/phy_wrdata_en_r[2]/opit_0_inv_L6QQ_perm/CLK,u_DDR3/u_ddrphy_top/ddrphy_slice_top/i_dqs_group[0].ddrphy_data_slice/u_tserdes0_dqs/oserdes_inst/TS_CTRL[3]
7,-3.695,IP_DDR_PHY,ddrphy_sysclk,max (slow corner),sequential timing path,u_DDR3/u_ddrphy_top/ddrphy_dll_update_ctrl/dll_freeze_cnt[18]/opit_0_inv_AQ_perm/CLK,u_DDR3/u_ddrphy_top/u_dll_freeze_sync/sig_async_r1[0]/opit_0_inv_srl/D
8,-3.645,IP_DDR_PHY,phy_dq_clk_0,max (slow corner),async timing path,u_DDR3/u_ddrphy_top/ddrphy_reset_ctrl/ddrphy_iol_rst/opit_0_inv_L5Q_perm/CLK,u_DDR3/u_ddrphy_top/ddrphy_slice_top/i_ca_group[2].u_tserdes_ca1/oserdes_inst/TSR
9,-3.611,IP_DDR_PHY,phy_dq_clk_0,max (slow corner),async timing path,u_DDR3/u_ddrphy_top/ddrphy_reset_ctrl/ddrphy_iol_rst/opit_0_inv_L5Q_perm/CLK,u_DDR3/u_ddrphy_top/ddrphy_slice_top/i_ca_group[2].u_tserdes_ca0/oserdes_inst/TSR
10,-3.610,IP_DDR_PHY,phy_dq_sysclk_0,max (slow corner),sequential timing path,u_DDR3/u_ddrphy_top/ddrphy_slice_top/i_dqs_group[0].ddrphy_data_slice/ddrphy_dqs_rddata_align/this_group_ca_dly/opit_0_inv/CLK,u_DDR3/u_ddrphy_top/ddrphy_slice_top/i_mem_addr_0[0].u_outbuft_addr0/opit_1/TX_DATA[2]
